Epoch [1/15], Train Loss: 2.4662, Train Accuracy: 34.71%, Validation Loss: 2.2403, Validation Accuracy: 74.08%
Epoch [2/15], Train Loss: 1.9678, Train Accuracy: 82.77%, Validation Loss: 1.7687, Validation Accuracy: 87.30%
Epoch [3/15], Train Loss: 1.5672, Train Accuracy: 87.68%, Validation Loss: 1.4032, Validation Accuracy: 92.55%
Epoch [4/15], Train Loss: 1.2557, Train Accuracy: 92.66%, Validation Loss: 1.1262, Validation Accuracy: 95.49%
Epoch [5/15], Train Loss: 1.0282, Train Accuracy: 94.06%, Validation Loss: 0.9252, Validation Accuracy: 96.43%
Epoch [6/15], Train Loss: 0.8371, Train Accuracy: 95.68%, Validation Loss: 0.7552, Validation Accuracy: 97.38%
Epoch [7/15], Train Loss: 0.7131, Train Accuracy: 96.53%, Validation Loss: 0.6442, Validation Accuracy: 97.69%
Epoch [8/15], Train Loss: 0.6115, Train Accuracy: 97.12%, Validation Loss: 0.5588, Validation Accuracy: 98.01%
Epoch [9/15], Train Loss: 0.5280, Train Accuracy: 97.64%, Validation Loss: 0.4946, Validation Accuracy: 98.22%
Epoch [10/15], Train Loss: 0.4507, Train Accuracy: 98.16%, Validation Loss: 0.4183, Validation Accuracy: 98.43%
Epoch [11/15], Train Loss: 0.3985, Train Accuracy: 98.34%, Validation Loss: 0.3657, Validation Accuracy: 98.85%
Epoch [12/15], Train Loss: 0.3620, Train Accuracy: 98.49%, Validation Loss: 0.3255, Validation Accuracy: 98.95%
Epoch [13/15], Train Loss: 0.3288, Train Accuracy: 98.71%, Validation Loss: 0.3068, Validation Accuracy: 99.16%
Epoch [14/15], Train Loss: 0.2969, Train Accuracy: 98.93%, Validation Loss: 0.2735, Validation Accuracy: 99.16%
Epoch [15/15], Train Loss: 0.2747, Train Accuracy: 98.89%, Validation Loss: 0.2504, Validation Accuracy: 99.16%
