Epoch [1/30], Train Loss: 2.9213, Train Accuracy: 7.60%, Validation Loss: 2.7086, Validation Accuracy: 7.56%
Epoch [2/30], Train Loss: 2.7068, Train Accuracy: 7.78%, Validation Loss: 2.6913, Validation Accuracy: 10.49%
Epoch [3/30], Train Loss: 2.6778, Train Accuracy: 11.10%, Validation Loss: 2.6547, Validation Accuracy: 14.17%
Epoch [4/30], Train Loss: 2.6230, Train Accuracy: 13.06%, Validation Loss: 2.5703, Validation Accuracy: 15.53%
Epoch [5/30], Train Loss: 2.5435, Train Accuracy: 17.30%, Validation Loss: 2.4861, Validation Accuracy: 17.63%
Epoch [6/30], Train Loss: 2.4649, Train Accuracy: 18.33%, Validation Loss: 2.4306, Validation Accuracy: 19.83%
Epoch [7/30], Train Loss: 2.3783, Train Accuracy: 20.69%, Validation Loss: 2.2753, Validation Accuracy: 25.60%
Epoch [8/30], Train Loss: 2.2930, Train Accuracy: 24.57%, Validation Loss: 2.2505, Validation Accuracy: 28.12%
Epoch [9/30], Train Loss: 2.2017, Train Accuracy: 26.56%, Validation Loss: 2.1231, Validation Accuracy: 29.07%
Epoch [10/30], Train Loss: 2.1594, Train Accuracy: 29.03%, Validation Loss: 2.2646, Validation Accuracy: 24.13%
Epoch [11/30], Train Loss: 2.1188, Train Accuracy: 30.73%, Validation Loss: 1.9110, Validation Accuracy: 36.10%
Epoch [12/30], Train Loss: 2.0179, Train Accuracy: 33.97%, Validation Loss: 1.8660, Validation Accuracy: 39.35%
Epoch [13/30], Train Loss: 1.9485, Train Accuracy: 35.89%, Validation Loss: 1.8250, Validation Accuracy: 40.40%
Epoch [14/30], Train Loss: 1.9392, Train Accuracy: 35.78%, Validation Loss: 1.7728, Validation Accuracy: 42.39%
Epoch [15/30], Train Loss: 1.8077, Train Accuracy: 40.43%, Validation Loss: 1.6104, Validation Accuracy: 46.80%
Epoch [16/30], Train Loss: 1.7625, Train Accuracy: 41.65%, Validation Loss: 1.6845, Validation Accuracy: 46.48%
Epoch [17/30], Train Loss: 1.6584, Train Accuracy: 46.00%, Validation Loss: 1.3763, Validation Accuracy: 54.67%
Epoch [18/30], Train Loss: 1.5556, Train Accuracy: 47.40%, Validation Loss: 1.3323, Validation Accuracy: 55.09%
Epoch [19/30], Train Loss: 1.5046, Train Accuracy: 50.39%, Validation Loss: 1.4565, Validation Accuracy: 49.84%
Epoch [20/30], Train Loss: 1.4811, Train Accuracy: 51.94%, Validation Loss: 1.3494, Validation Accuracy: 56.24%
Epoch [21/30], Train Loss: 1.3881, Train Accuracy: 54.48%, Validation Loss: 1.0769, Validation Accuracy: 65.16%
Epoch [22/30], Train Loss: 1.2703, Train Accuracy: 57.58%, Validation Loss: 0.9971, Validation Accuracy: 66.42%
Epoch [23/30], Train Loss: 1.2295, Train Accuracy: 59.46%, Validation Loss: 0.9180, Validation Accuracy: 69.05%
Epoch [24/30], Train Loss: 1.1842, Train Accuracy: 60.79%, Validation Loss: 0.8868, Validation Accuracy: 73.98%
Epoch [25/30], Train Loss: 1.1297, Train Accuracy: 62.71%, Validation Loss: 0.7482, Validation Accuracy: 75.87%
Epoch [26/30], Train Loss: 1.0559, Train Accuracy: 65.55%, Validation Loss: 0.7011, Validation Accuracy: 79.22%
Epoch [27/30], Train Loss: 0.9911, Train Accuracy: 66.47%, Validation Loss: 0.6205, Validation Accuracy: 80.48%
Epoch [28/30], Train Loss: 0.9018, Train Accuracy: 70.60%, Validation Loss: 0.5879, Validation Accuracy: 80.59%
Epoch [29/30], Train Loss: 0.8540, Train Accuracy: 72.45%, Validation Loss: 0.4868, Validation Accuracy: 85.31%
Epoch [30/30], Train Loss: 0.8156, Train Accuracy: 73.22%, Validation Loss: 0.3753, Validation Accuracy: 89.93%
